instrument,regime,regime_name,count,mean,std,min,max
INDX.CAC,0,Low,466,416.21030042918454,615.9200049136355,59,5916
INDX.CAC,1,Medium,733,252.43929058663028,259.51053799115306,37,2349
INDX.CAC,2,High,349,290.55587392550143,602.7373290392835,25,6426
INDX.FTSEMIB,0,Low,124099,1.0,0.0,1,1
INDX.FTSEMIB,1,Medium,124093,1.0,0.0,1,1
INDX.FTSEMIB,2,High,319,391.9216300940439,994.1874863373547,54,12240
INDX.NDX,0,Low,366,650.1939890710382,1321.5049051441067,14,11118
INDX.NDX,1,Medium,61636,1.0,0.0,1,1
INDX.NDX,2,High,61420,1.0,0.0,1,1
INDX.SMI,0,Low,312,429.1057692307692,584.0429704647131,56,4794
INDX.SMI,1,Medium,420,237.21428571428572,227.56033433359693,85,1428
INDX.SMI,2,High,157,324.4267515923567,664.5907281526214,25,6528
INDX.SPX,0,Low,484,317.4297520661157,479.2062549743728,12,4410
INDX.SPX,1,Medium,849,146.0789163722026,178.64576956044388,2,2496
INDX.SPX,2,High,498,184.79518072289156,1015.0492441379475,4,21025
INDX.TPX,0,Low,96728,1.0,0.0,1,1
INDX.TPX,1,Medium,97455,1.0,0.0,1,1
INDX.TPX,2,High,727,121.86107290233838,167.28769271148312,26,2497
INDX.UKX,0,Low,463,430.88120950323975,673.8246821751862,54,5508
INDX.UKX,1,Medium,655,237.74809160305344,222.0626872231128,54,2140
INDX.UKX,2,High,268,312.2014925373134,676.3437315033173,102,6528
