regime,regime_name,model,baseline_rmse,model_rmse,improvement_pct
0,Low Volatility,ensemble,0.0017439613259286873,0.0012323358167034197,29.336975632347738
0,Low Volatility,lstm,0.0017439613259286873,0.0010844463809077153,37.81706252400808
0,Low Volatility,tcn,0.0017439613259286873,0.001131722071712399,35.1062403227469
0,Low Volatility,chronos_fintext,0.0017439613259286873,0.001318511550426938,24.395596919283197
0,Low Volatility,timesfm_fintext,0.0017439613259286873,0.0012993304571775883,25.49545463769536
1,Medium Volatility,ensemble,0.0019614539645586068,0.0013796633978490128,29.661188955842583
1,Medium Volatility,lstm,0.0019614539645586068,0.0013651346477458394,30.40190224127739
1,Medium Volatility,tcn,0.0019614539645586068,0.0016511250814611439,15.821369693338552
1,Medium Volatility,chronos_fintext,0.0019614539645586068,0.0018329918418270293,6.549331519003343
1,Medium Volatility,timesfm_fintext,0.0019614539645586068,0.0018409692081313453,6.1426247367663604
2,High Volatility,ensemble,0.007307196418166358,0.003864756119994485,47.110274600168836
2,High Volatility,lstm,0.007307196418166358,0.0038076550689065598,47.89171043164542
2,High Volatility,tcn,0.007307196418166358,0.003937492203088136,46.11487117960631
2,High Volatility,chronos_fintext,0.007307196418166358,0.005842772634503979,20.040843298281775
2,High Volatility,timesfm_fintext,0.007307196418166358,0.005843734478229549,20.02768033302771
