instrument,regime,regime_name,count,percentage,mean_rv,std_rv,mean_volume,mean_return,std_return
INDX.CAC,0,Low,193954,40.37377496898392,0.006510803674089157,0.0014536297027976915,680.6173319446879,9.577124947222255e-06,0.0006630651547544866
INDX.CAC,1,Medium,185038,38.51780614326514,0.011575490762318256,0.0017519206152508298,839.9329056734292,4.942218236990174e-06,0.0011615000295289784
INDX.CAC,2,High,101404,21.10841888775094,0.022680782928339544,0.012014835474089654,985.5039840637451,-2.1204217487744704e-05,0.0025293980528501374
INDX.SPX,0,Low,153636,41.558624234145285,0.005021292042038326,0.0012023681401610662,12062.085969434247,1.319070215427769e-05,0.0005887484046310615
INDX.SPX,1,Medium,124021,33.54775011158148,0.009634500170801917,0.001841351125826721,16356.906330379532,-1.5195381372684527e-06,0.001137273603416942
INDX.SPX,2,High,92028,24.893625654273233,0.017082113149164,0.009356840197418585,12532.439898726474,-1.1282926369862016e-05,0.0021860394343808528
INDX.TPX,0,Low,96728,34.20658047359041,0.007922238306572467,0.0023634575356912364,517.541166983707,3.227352315481066e-07,0.001041406832552564
INDX.TPX,1,Medium,97455,34.463674427815654,0.007932929994086482,0.00236698102898796,525.8345492791544,4.259846794131278e-06,0.0010866634810140377
INDX.TPX,2,High,88593,31.32974509859394,0.019955517024436303,0.010753048003199301,655.0243247209147,2.5190237033218196e-06,0.0029016644519730293
INDX.NDX,0,Low,237971,65.9150146664931,0.008215236250350281,0.002612866721937893,2907.204508112333,1.2909000823025834e-05,0.0009931510517762932
INDX.NDX,1,Medium,61636,17.07240732687583,0.02388795190392809,0.011114140429134969,3117.6826692192876,-1.6656915656258204e-05,0.0026562047309348366
INDX.NDX,2,High,61420,17.012578006631085,0.023925115187296495,0.011115169183997435,3113.472305437968,-2.1162193111198417e-05,0.003274489294160153
INDX.UKX,0,Low,199498,45.454814727051925,0.005476543578768108,0.0011258469420992031,710.8380635394841,7.92720009048845e-06,0.0005548334551416849
INDX.UKX,1,Medium,155725,35.481313213015476,0.009521514354073314,0.001505744480419296,854.161252207417,9.556533699546607e-07,0.0009554625039817634
INDX.UKX,2,High,83670,19.063872059932603,0.01955725117891167,0.009665187982841657,1136.2101470060954,-1.1508133806763108e-05,0.002156294245814486
INDX.FTSEMIB,0,Low,124099,33.25134305963051,0.008424703591077418,0.0026875288344023673,172.4219292661504,8.915424241633255e-06,0.0008215977869245342
INDX.FTSEMIB,1,Medium,124093,33.24973540720496,0.008424808234744178,0.0026873877813986865,169.72980748309735,1.426555794283e-05,0.0009411494803670268
INDX.FTSEMIB,2,High,125023,33.49892153316453,0.020215290065366768,0.009189863354915022,258.58618814138197,-1.951653717443388e-05,0.0021874589243085847
INDX.SMI,0,Low,133881,47.067281663303405,0.005628750015022761,0.0010939559743395899,282.26814857970885,7.976659847846227e-06,0.0005680361306805056
INDX.SMI,1,Medium,99630,35.02598032667009,0.00953235742432862,0.0014525650954502695,360.1778179263274,3.6099004686978104e-07,0.0009548125470890402
INDX.SMI,2,High,50935,17.90673801002651,0.020034000919848697,0.009803679849038517,544.8413860802984,-1.2491678584471083e-05,0.002205198270050807
